Number of balls: 850
Area of container: 314.1592653589793
Mass 1
Radius 0.01
T,     T_dev,     v
1498.823529411765,3.32428202629046e-13,46.66760991331825
1498.823529411765,3.32428202629046e-13,95.14127306013513
1498.823529411765,3.32428202629046e-13,32.33042652460455
1498.823529411765,3.32428202629046e-13,70.526960058229
1498.823529411765,3.32428202629046e-13,36.38544859354103
1498.823529411765,3.32428202629046e-13,40.71961231405468
1498.823529411765,3.32428202629046e-13,41.292738549803325
1498.823529411765,3.32428202629046e-13,15.588020976163422
1498.823529411765,3.32428202629046e-13,34.73304289963031
1498.823529411765,3.32428202629046e-13,56.35912566974889
1498.823529411765,3.32428202629046e-13,21.80815330642925
1498.823529411765,3.32428202629046e-13,39.472032614781945
1498.823529411765,3.32428202629046e-13,69.54719562138824
1498.823529411765,3.32428202629046e-13,37.49598003757434
1498.823529411765,3.32428202629046e-13,17.4755451094681
